keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.0,-7.29799e-14,0.01,-1.85168e-12,0.0937849000329152
-0.01,-6.04749e-14,0.01,-3.85153e-12,1.10837550007273
-0.02,-3.49283e-14,0.01,-4.73118e-12,2.1341628000373
-0.03,-7.38144e-14,0.01,-5.63812e-12,3.14879720006138
-0.04,-2.47478e-14,0.01,-6.2927e-12,4.17217999999411
-0.05,5.80072e-14,0.01,-7.17533e-12,5.18801140005235
-0.06,9.36866e-14,0.01,-7.95782e-12,6.21446300006937
-0.07,1.90854e-14,0.01,-8.7806e-12,7.22962110000663
-0.08,1.71089e-13,0.01,-9.47499e-12,8.25957130000461
-0.09,1.67704e-13,0.01,-1.03199e-11,9.27449870004784
-0.1,7.33972e-14,0.01,-1.10061e-11,10.4969507000642
-0.11,2.17998e-13,0.01,-1.20136e-11,11.7129280000227
-0.12,2.52652e-13,0.01,-1.32028e-11,12.7441906000022
-0.13,1.96946e-13,0.01,-1.43515e-11,13.7594505000161
-0.14,2.06137e-13,0.01,-1.56237e-11,14.7892401000718
-0.15,2.51842e-13,0.01,-1.69041e-11,15.8061859000009
-0.16,3.01659e-13,0.01,-1.79404e-11,16.8350676000118
-0.17,2.84302e-13,0.01,-1.93983e-11,17.8517383000581
-0.18,3.33631e-13,0.01,-2.04003e-11,18.8799159000628
-0.19,3.28898e-13,0.01,-2.16825e-11,19.8958331000758
-0.2,3.41702e-13,0.01,-2.27336e-11,20.9181576999836
-0.21,3.46935e-13,0.01,-2.39245e-11,21.9356734000612
-0.22,3.25263e-13,0.01,-2.4901e-11,22.9635245000245
-0.23,3.46065e-13,0.01,-2.59979e-11,23.9786513000727
-0.24,4.43196e-13,0.01,-2.69953e-11,25.0054967000615
-0.25,3.53861e-13,0.01,-2.6907e-11,26.0202648000559
-0.26,5.33664e-13,0.01,-2.84091e-11,27.4501457000151
-0.27,5.08058e-13,0.01,-2.9339e-11,28.5065828000661
-0.28,5.4462e-13,0.01,-3.07081e-11,29.5291132000275
-0.29,6.97804e-13,0.01,-3.18012e-11,30.5460674000205
-0.3,6.27685e-13,0.01,-3.30809e-11,31.5713109000353
-0.31,7.44796e-13,0.01,-3.4114e-11,32.587569000083
-0.32,7.10928e-13,0.01,-3.52525e-11,33.6126213000389
-0.33,7.68709e-13,0.01,-3.65278e-11,34.6287344000302
-0.34,7.35712e-13,0.01,-3.755e-11,35.6525404000422
-0.35,7.17616e-13,0.01,-3.89106e-11,36.6682215000037
-0.36,8.12602e-13,0.01,-3.97362e-11,37.696495900047
-0.37,7.32994e-13,0.01,-4.10548e-11,38.7136889999965
-0.38,9.2696e-13,0.01,-4.20275e-11,39.7352195000276
-0.39,8.80432e-13,0.01,-4.29907e-11,40.7511055000359
-0.4,8.61561e-13,0.01,-4.28025e-11,41.7833433999913
-0.41,9.87387e-13,0.01,-4.41899e-11,43.2009442000417
-0.42,1.07039e-12,0.01,-4.56994e-11,44.2188673000783
-0.43,1.07588e-12,0.01,-4.68612e-11,45.2353980999906
-0.44,1.08583e-12,0.01,-4.83937e-11,46.2600614000112
-0.45,1.21378e-12,0.01,-4.96886e-11,47.2753424000693
-0.46,1.31658e-12,0.01,-5.12332e-11,48.2934049000032
-0.47,1.48976e-12,0.01,-5.25211e-11,49.3097868000623
-0.48,1.42529e-12,0.01,-5.39594e-11,50.3363597000716
-0.49,1.50472e-12,0.01,-5.57508e-11,51.351918600034
-0.5,1.6625e-12,0.01,-5.73907e-11,52.370611899998
-0.51,1.80827e-12,0.01,-5.95058e-11,53.3877074000193
-0.52,1.994e-12,0.01,-6.14265e-11,54.4279695000732
-0.53,2.09481e-12,0.01,-6.41663e-11,55.4445552000543
-0.54,2.30608e-12,0.01,-6.68136e-11,56.4619722000789
-0.55,2.47656e-12,0.01,-6.84737e-11,57.4789931999985
-0.56,2.84597e-12,0.01,-7.26596e-11,58.9090687000426
-0.57,3.08996e-12,0.01,-7.71383e-11,59.9264911999926
-0.58,3.42051e-12,0.01,-8.24437e-11,60.9528995000292
-0.59,3.79027e-12,0.01,-8.78125e-11,61.9685397000285
-0.6,4.19673e-12,0.01,-9.42545e-11,62.9938927000621
-0.61,4.46235e-12,0.01,-1.00619e-10,64.0109670000384
-0.62,4.84318e-12,0.01,-1.07967e-10,65.0368164000101
-0.63,5.06166e-12,0.01,-1.14788e-10,66.051998400013
-0.64,5.50857e-12,0.01,-1.21501e-10,67.0816134000197
