keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,-1.64986e-13,0.0,-1.85132e-13,4.64612e-07,23.0542186215301,0.005,3.00017e-08,0.001,0.119111099978909
-0.01,5.25713e-14,0.0,-3.50487e-12,4.64314e-07,23.0372895018261,0.005,2.99301e-08,0.001,0.644547199946828
-0.02,1.59144e-13,0.0,-3.78489e-12,4.639e-07,23.0137550807627,0.005,3.01248e-08,0.001,1.16555769997649
-0.03,2.26259e-13,0.0,-3.86894e-12,4.64137e-07,23.0272298832056,0.005,3.00273e-08,0.001,1.69039489992429
-0.04,2.49267e-13,0.0,-3.91722e-12,4.64304e-07,23.0367212492894,0.005,3.01159e-08,0.001,2.23226700001396
-0.05,2.83003e-13,0.0,-4.05204e-12,4.64108e-07,23.0255813840182,0.005,2.98823e-08,0.001,2.75736629997846
-0.06,2.82526e-13,0.0,-4.07374e-12,4.64162e-07,23.0286509324295,0.005,2.98571e-08,0.001,3.28126820002217
-0.07,3.38078e-13,0.0,-4.14157e-12,4.64335e-07,23.0384827980535,0.005,3.00159e-08,0.001,3.80624019994866
-0.08,3.68237e-13,0.0,-4.1306e-12,4.64043e-07,23.0218861517164,0.005,2.98516e-08,0.001,4.34002699994016
-0.09,3.88503e-13,0.0,-4.22645e-12,4.63994e-07,23.0191002221439,0.005,2.97147e-08,0.001,4.86329489992931
-0.1,3.54171e-13,0.0,-4.23503e-12,4.63823e-07,23.0093759230481,0.005,2.9655e-08,0.001,5.38813689991366
-0.11,3.73363e-13,0.0,-4.25565e-12,4.64098e-07,23.0250129155775,0.005,2.97254e-08,0.001,5.91217809997033
-0.12,3.83735e-13,0.0,-4.31144e-12,4.64299e-07,23.0364371190925,0.005,2.98623e-08,0.001,6.43998049991205
-0.13,3.47257e-13,0.0,-4.31883e-12,4.64108e-07,23.0255813840182,0.005,2.991e-08,0.001,6.96445939992554
-0.14,3.77178e-13,0.0,-4.37272e-12,4.64345e-07,23.0390510181152,0.005,2.98719e-08,0.001,7.48786929994822
-0.15,3.95298e-13,0.0,-4.41575e-12,4.64257e-07,23.0340503220257,0.005,2.98263e-08,0.001,8.01155269995797
-0.16,3.30091e-13,0.0,-4.33314e-12,4.64196e-07,23.0305834542343,0.005,3.01051e-08,0.001,8.54895239998586
-0.17,3.13282e-13,0.0,-4.26495e-12,4.64441e-07,23.0445053978058,0.005,2.98762e-08,0.001,9.27362549991813
-0.18,3.27945e-13,0.0,-4.426e-12,4.64372e-07,23.0405851599609,0.005,2.98731e-08,0.001,9.9944629999809
-0.19,3.55124e-13,0.0,-4.49991e-12,4.64388e-07,23.0414942450243,0.005,2.99737e-08,0.001,10.5181272999616
-0.2,2.58088e-13,0.0,-4.28736e-12,4.64476e-07,23.0464937336706,0.005,2.98663e-08,0.001,11.4522609999403
-0.21,3.29375e-13,0.0,-4.44353e-12,4.64417e-07,23.043141893366,0.005,2.9895e-08,0.001,11.9764859999996
-0.22,3.58105e-13,0.0,-4.51612e-12,4.64475e-07,23.0464369258543,0.005,2.96101e-08,0.001,12.502367899986
-0.23,3.5274e-13,0.0,-4.54116e-12,4.64397e-07,23.0420055935901,0.005,2.97105e-08,0.001,13.0267332999501
-0.24,3.81947e-13,0.0,-4.57203e-12,4.64171e-07,23.0291624941112,0.005,2.95508e-08,0.001,13.5625260999659
-0.25,3.93867e-13,0.0,-4.62699e-12,4.6399e-07,23.0188727882032,0.005,2.93902e-08,0.001,14.0874837000156
-0.26,3.82304e-13,0.0,-4.64892e-12,4.64264e-07,23.0344481343722,0.005,2.96147e-08,0.001,14.6112890000222
-0.27,3.68595e-13,0.0,-4.6351e-12,4.64482e-07,23.0468345783696,0.005,2.9739e-08,0.001,15.1354772999184
-0.28,4.35829e-13,0.0,-4.6308e-12,4.64473e-07,23.0463233099077,0.005,2.96982e-08,0.001,15.668044299935
-0.29,3.80993e-13,0.0,-4.64928e-12,4.64217e-07,23.031777010113,0.005,2.95816e-08,0.001,16.1929123000009
-0.3,3.91602e-13,0.0,-4.68969e-12,4.64289e-07,23.0358688508407,0.005,2.978e-08,0.001,16.7182736999821
-0.29,-4.25577e-14,0.0,1.85716e-12,4.64368e-07,23.0403578845056,0.005,2.9614e-08,0.001,17.2426129999803
