keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,2.28524e-12,-1.46627e-12,0.0,0.0938835999986622
0.005,2.93183e-12,-1.18017e-12,0.0,1.10903340001823
0.01,3.60608e-12,-1.27554e-12,0.0,2.1387883000134
0.015,4.18937e-12,-1.2517e-12,0.0,3.15480240000761
0.02,4.8188e-12,-2.12193e-12,0.0,4.18182729999535
0.025,5.48732e-12,-1.52588e-12,0.0,5.19823939999333
0.03,6.21867e-12,-1.23978e-12,0.0,6.2261977000162
0.035,6.94132e-12,-2.31266e-12,0.0,7.24252120000892
0.04,7.53534e-12,-1.90735e-12,0.0,8.26589159999276
0.045,8.26514e-12,-1.90735e-12,0.0,9.28231120001874
0.05,8.91364e-12,-2.20537e-12,0.0,10.3078241000185
0.055,9.67598e-12,-2.00272e-12,0.0,11.3243561999989
0.06,1.03577e-11,-1.27554e-12,0.0,12.3502786000026
0.065,1.12166e-11,-1.80006e-12,0.0,13.7646053000062
0.07,1.20275e-11,-1.0848e-12,0.0,14.7890506999975
0.075,1.27211e-11,-1.54972e-12,0.0,16.2033637000131
0.08,1.33868e-11,-1.33514e-12,0.0,17.2288556999993
0.085,1.40576e-11,-2.14577e-12,0.0,18.2434809000115
0.09,1.4742e-11,-1.14441e-12,0.0,19.2695376000192
0.095,1.54295e-11,-1.88351e-12,0.0,20.2846852999937
0.1,1.60925e-11,-1.18017e-12,0.0,21.3116579000198
0.105,1.69449e-11,-1.4782e-12,0.0,22.3301480000082
0.11,1.75738e-11,-1.9908e-12,0.0,23.3669528000173
0.115,1.8329e-11,-1.38283e-12,0.0,24.3917459000077
0.12,1.90483e-11,-2.01464e-12,0.0,25.4219885000202
0.125,1.97754e-11,-1.63317e-12,0.0,26.4504215000197
0.13,2.04082e-11,-1.85966e-12,0.0,27.4811638999963
0.135,2.10952e-11,-1.85966e-12,0.0,28.5001017000177
0.14,2.17861e-11,-2.08616e-12,0.0,29.9364005000098
0.145,2.24012e-11,-2.11e-12,0.0,31.3495802000107
0.15,2.3163e-11,-1.21593e-12,0.0,32.3773628000054
0.155,2.3935e-11,-1.5378e-12,0.0,33.3977607999987
0.16,2.46673e-11,-1.96695e-12,0.0,34.4316747999983
0.165,2.54717e-11,-1.50204e-12,0.0,35.4580623999937
0.17,2.62343e-11,-2.15769e-12,0.0,36.4932376999932
0.175,2.705e-11,-1.09673e-12,0.0,37.51310500002
0.18,2.7836e-11,-1.37091e-12,0.0,38.5366064000118
0.185,2.86331e-11,-1.89543e-12,0.0,39.5568849999981
0.19,2.94597e-11,-2.18153e-12,0.0,40.5844731999969
0.195,3.0346e-11,-1.15633e-12,0.0,41.6070007999951
0.2,3.11052e-11,-1.19209e-12,0.0,42.6401834000135
0.195,3.01895e-11,-1.49012e-12,0.0,43.6693284000212
0.19,2.93463e-11,-1.88351e-12,0.0,44.6971057000046
0.185,2.84834e-11,-1.94311e-12,0.0,46.1176379999961
0.18,2.76223e-11,-1.90735e-12,0.0,47.5427144000132
0.175,2.67824e-11,-2.24113e-12,0.0,48.5619395000103
0.17,2.59612e-11,-2.0504e-12,0.0,49.589484600001
0.165,2.51313e-11,-1.20401e-12,0.0,50.6074194000103
0.16,2.42639e-11,-1.54972e-12,0.0,51.6385478000157
0.155,2.34683e-11,-2.18153e-12,0.0,52.6576191000058
0.15,2.26715e-11,-1.51396e-12,0.0,53.684951400006
0.145,2.18875e-11,-1.58548e-12,0.0,54.7188922000059
0.14,2.1127e-11,-1.97887e-12,0.0,55.7546567000099
0.135,2.03162e-11,-2.14577e-12,0.0,56.7753198000137
0.13,1.96142e-11,-1.43051e-12,0.0,57.8507258000027
0.125,1.88341e-11,-1.2517e-12,0.0,58.8747379000124
0.12,1.81309e-11,-1.52588e-12,0.0,59.8958849000046
0.115,1.75134e-11,-2.25306e-12,0.0,60.9146919000195
0.11,1.69249e-11,-1.85966e-12,0.0,62.3440824999998
0.105,1.62677e-11,-1.41859e-12,0.0,63.7577095000015
0.1,1.56533e-11,-1.83582e-12,0.0,64.7870659000182
0.095,1.49257e-11,-2.09808e-12,0.0,65.8050551000051
0.09,1.43504e-11,-1.34707e-12,0.0,66.8315799999982
0.085,1.36966e-11,-1.10865e-12,0.0,67.8544715000025
0.08,1.31041e-11,-1.22786e-12,0.0,68.8853325000091
0.075,1.23839e-11,-9.65595e-13,0.0,69.9032933000126
0.07,1.16042e-11,-1.14441e-12,0.0,70.9356903000153
0.065,1.09926e-11,-1.74046e-12,0.0,71.9537320999952
0.06,1.03464e-11,-2.09808e-12,0.0,72.9886051999929
0.055,9.68027e-12,-1.91927e-12,0.0,74.0079050000058
0.05,8.95679e-12,-1.26362e-12,0.0,75.0394996000105
0.045,8.23498e-12,-1.80006e-12,0.0,76.0568378000171
0.04,7.55632e-12,-1.12057e-12,0.0,77.0892042000196
0.035,6.88076e-12,-1.18017e-12,0.0,78.1051432999957
0.03,6.2207e-12,-1.15633e-12,0.0,79.9263546000002
0.025,5.59664e-12,-1.77622e-12,0.0,80.9487551000202
0.02,5.03731e-12,-1.51396e-12,0.0,81.9755945000215
0.015,4.439e-12,-1.46627e-12,0.0,82.9935030000051
0.01,3.85165e-12,-1.20401e-12,0.0,84.0212389999942
0.005,3.22783e-12,-1.45435e-12,0.0,85.0370990000083
0.0,2.51162e-12,-1.21593e-12,0.0,86.0670458000095
-0.005,1.83129e-12,-2.18153e-12,0.0,87.0867595000018
-0.01,1.14179e-12,-1.40667e-12,0.0,88.1170697000052
-0.015,4.13537e-13,-1.13249e-12,0.0,89.1363026000035
-0.02,-3.46065e-13,-1.80006e-12,0.0,90.1620934999955
-0.025,-1.06525e-12,-1.0848e-12,0.0,91.1809370999981
-0.03,-1.74356e-12,-1.81198e-12,0.0,92.209609100013
-0.035,-2.38121e-12,-2.06232e-12,0.0,93.2283275999944
-0.04,-3.11327e-12,-1.46627e-12,0.0,94.2628073999949
-0.045,-3.82555e-12,-1.93119e-12,0.0,95.6832387000031
-0.05,-4.50826e-12,-1.41859e-12,0.0,97.11451330001
-0.055,-5.19133e-12,-1.85966e-12,0.0,98.1338742999942
-0.06,-5.93102e-12,-2.15769e-12,0.0,99.1651978000009
-0.065,-6.63197e-12,-1.16825e-12,0.0,100.194384400005
-0.07,-7.30872e-12,-1.2517e-12,0.0,101.216245400021
-0.075,-8.04257e-12,-1.5378e-12,0.0,102.234124200011
-0.08,-8.83496e-12,-1.32322e-12,0.0,103.261571600015
-0.085,-9.53329e-12,-2.34842e-12,0.0,104.282299000013
