keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
-0.07,2.63453e-14,0.01,9.50919e-12,97.7731487000128
-0.06,5.76854e-14,0.01,9.9082e-12,98.804174699937
-0.05,-3.7992e-14,0.01,1.02221e-11,99.8303880000021
-0.04,2.28882e-14,0.01,1.05796e-11,100.861065399949
-0.03,3.9506e-14,0.01,1.08898e-11,101.879131700029
-0.02,3.08156e-14,0.01,1.11823e-11,102.917344799964
-0.01,-5.65052e-15,0.01,1.1482e-11,103.93487560004
0.0,6.52909e-14,0.01,1.17008e-11,104.96429709997
0.01,5.77927e-14,0.01,1.1966e-11,105.981885900022
0.02,7.12156e-14,0.01,1.21903e-11,107.012725900044
0.03,2.28524e-14,0.01,1.22722e-11,108.031305199955
0.04,5.43475e-14,0.01,1.22691e-11,109.458571400028
0.05,3.43323e-14,0.01,1.2643e-11,110.479230899946
0.06,-4.19617e-14,0.01,1.28637e-11,111.507832400035
0.07,6.5577e-14,0.01,1.31633e-11,112.524853799958
0.08,1.6346e-13,0.01,1.32471e-11,113.553122499958
0.09,-3.61204e-15,0.01,1.3503e-11,114.612009400036
0.1,3.80158e-14,0.01,1.36774e-11,115.637783100014
0.11,2.54869e-14,0.01,1.38397e-11,116.656901999959
0.12,5.95808e-14,0.01,1.39969e-11,117.688682900043
0.13,2.4116e-14,0.01,1.41836e-11,118.706680199946
0.14,3.61443e-14,0.01,1.43798e-11,119.733143799938
0.15,5.60999e-14,0.01,1.44667e-11,120.751574099995
0.16,-3.63231e-14,0.01,1.45846e-11,121.773220299976
0.17,5.56707e-14,0.01,1.46712e-11,122.789617900038
0.18,1.88947e-14,0.01,1.44301e-11,124.018403299968
0.19,4.30584e-14,0.01,1.4512e-11,125.231043700012
0.2,-1.81437e-14,0.01,1.46774e-11,126.265399000025
0.21,-6.08802e-14,0.01,1.50331e-11,127.284156400012
0.22,1.7643e-15,0.01,1.51856e-11,128.317128199968
0.23,-1.10149e-14,0.01,1.5646e-11,129.339882
0.24,-1.17683e-13,0.01,1.57526e-11,130.372420300031
0.25,-5.04971e-14,0.01,1.62318e-11,131.391360300011
0.26,-9.58324e-14,0.01,1.67847e-11,132.423911100021
0.27,-2.93493e-14,0.01,1.72986e-11,133.444235799951
0.28,-1.84429e-13,0.01,1.79996e-11,134.481116099982
0.29,4.05312e-16,0.01,1.87577e-11,135.499444799963
0.3,-7.12395e-14,0.01,1.98201e-11,136.527920900029
0.31,-1.02007e-13,0.01,2.0993e-11,137.545451299986
0.32,-5.56231e-14,0.01,2.24323e-11,138.562949100044
0.33,1.29461e-14,0.01,2.35695e-11,139.780238399981
0.34,1.28746e-15,0.01,2.508e-11,140.820134100039
0.35,-1.10376e-13,0.01,2.74758e-11,142.038991800044
0.36,-7.74384e-14,0.01,2.98618e-11,143.065726000001
0.37,7.42674e-14,0.01,3.27306e-11,144.083053300041
0.38,-3.91722e-14,0.01,3.56313e-11,145.116873999941
0.39,-4.14252e-14,0.01,3.91545e-11,146.139808699954
0.4,-2.28882e-15,0.01,4.26355e-11,147.173924600007
0.41,-4.13418e-14,0.01,4.6728e-11,148.191032800009
0.42,-1.61684e-13,0.01,5.12954e-11,149.224737999961
0.43,3.60012e-15,0.01,5.59784e-11,150.241280799964
0.44,-8.00014e-14,0.01,6.13359e-11,151.274668599945
0.45,-2.26259e-14,0.01,6.68199e-11,152.291580699966
0.46,-3.35813e-14,0.01,7.30739e-11,153.330221100012
0.47,-1.32227e-13,0.01,7.9335e-11,154.355910200044
0.48,-1.62482e-14,0.01,8.55548e-11,155.386371299974
